"Date","Price","Open","High","Low","Vol.","Change %"
"03-10-2023","65,512.10","65,826.35","65,826.35","65,344.74","8.65K","-0.48%"
"29-09-2023","65,828.41","65,743.93","66,151.65","65,570.38","8.43M","0.49%"
"28-09-2023","65,508.32","66,404.82","66,406.01","65,423.39","7.82K","-0.92%"
"27-09-2023","66,118.69","65,929.45","66,172.20","65,552.45","5.39K","0.26%"
"26-09-2023","65,945.47","66,074.04","66,075.52","65,865.67","6.50K","-0.12%"
"25-09-2023","66,023.69","66,084.95","66,223.94","65,771.99","6.80K","0.02%"
"22-09-2023","66,009.15","66,215.04","66,445.47","65,952.83","8.29M","-0.33%"
"21-09-2023","66,230.24","66,608.67","66,608.67","66,128.71","8.40K","-0.85%"
"20-09-2023","66,800.84","67,196.58","67,289.57","66,753.19","13.36K","-1.18%"
"18-09-2023","67,596.84","67,665.58","67,801.43","67,540.89","10.33K","-0.36%"
"15-09-2023","67,838.63","67,658.59","67,925.56","67,615.02","6.79K","0.47%"
"14-09-2023","67,519.00","67,627.03","67,771.05","67,336.46","8.09M","0.08%"
"13-09-2023","67,466.99","67,188.64","67,562.63","67,060.13","6.18K","0.37%"
"12-09-2023","67,221.13","67,506.88","67,539.10","66,948.18","8.75M","0.14%"
"11-09-2023","67,127.08","66,807.73","67,172.13","66,735.84","9.25M","0.79%"
"08-09-2023","66,598.91","66,381.10","66,766.88","66,299.46","11.46K","0.50%"
"07-09-2023","66,265.56","65,855.04","66,293.44","65,672.44","6.19K","0.58%"
"06-09-2023","65,880.52","65,746.63","65,970.57","65,488.18","6.14K","0.15%"
"05-09-2023","65,780.26","65,671.60","65,815.98","65,601.47","6.58K","0.23%"
"04-09-2023","65,628.14","65,525.47","65,682.39","65,285.56","13.75K","0.37%"
"01-09-2023","65,387.16","64,855.51","65,472.46","64,825.05","21.62K","0.86%"
"31-08-2023","64,831.41","65,177.51","65,262.16","64,726.88","48.56K","-0.39%"
"30-08-2023","65,087.25","65,311.58","65,452.06","65,054.80","17.71K","0.02%"
"29-08-2023","65,075.82","65,204.77","65,204.77","64,956.67","48.52K","0.12%"
"28-08-2023","64,996.60","64,905.52","65,208.28","64,820.44","20.80K","0.17%"
"25-08-2023","64,886.51","65,003.36","65,103.94","64,735.82","51.69K","-0.56%"
"24-08-2023","65,252.34","65,729.65","65,913.01","65,185.56","5.94K","-0.28%"
"23-08-2023","65,433.30","65,302.49","65,498.96","65,112.23","7.07K","0.33%"
"22-08-2023","65,220.03","65,272.42","65,361.81","65,166.50","5.43K","0.01%"
"21-08-2023","65,216.09","64,849.69","65,330.41","64,849.69","9.32K","0.41%"
"18-08-2023","64,948.66","65,025.71","65,172.48","64,754.85","14.26K","-0.31%"
"17-08-2023","65,151.02","65,503.85","65,532.95","65,047.85","6.37K","-0.59%"
"16-08-2023","65,539.42","65,238.67","65,605.74","65,032.89","","0.21%"
"14-08-2023","65,401.92","65,153.02","65,517.82","64,821.88","7.62M","0.12%"
"11-08-2023","65,322.65","65,727.80","65,727.80","65,274.61","7.60M","-0.56%"
"10-08-2023","65,688.18","65,946.81","65,955.43","65,509.16","6.04K","-0.47%"
"09-08-2023","65,995.81","65,810.86","66,064.98","65,446.77","6.63K","0.23%"
"08-08-2023","65,846.50","66,048.81","66,048.81","65,754.16","6.27K","-0.16%"
"07-08-2023","65,953.48","65,812.81","66,065.41","65,750.40","7.12K","0.35%"
"04-08-2023","65,721.25","65,451.45","65,798.50","65,390.04","12.46K","0.74%"
"03-08-2023","65,240.68","65,550.82","65,820.82","64,963.08","9.29M","-0.82%"
"02-08-2023","65,782.78","66,064.41","66,261.97","65,431.68","7.51M","-1.02%"
"01-08-2023","66,459.31","66,532.98","66,658.12","66,388.26","10.51M","-0.10%"
"31-07-2023","66,527.67","66,154.13","66,597.37","65,998.90","7.93K","0.56%"
"28-07-2023","66,160.20","66,266.35","66,351.22","65,878.65","12.29M","-0.16%"
"27-07-2023","66,266.82","66,834.12","66,984.17","66,060.74","8.38M","-0.66%"
"26-07-2023","66,707.20","66,434.72","66,897.27","66,431.34","10.46M","0.53%"
"25-07-2023","66,355.71","66,531.20","66,559.29","66,177.62","11.12M","-0.04%"
"24-07-2023","66,384.78","66,629.14","66,808.56","66,326.25","8.64M","-0.45%"
